,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Laptm4a,2278.56267192926,-0.0693463738866985,0.16105241868808,-0.430582629255669,0.666771873931912,0.997781340337504
Lratd1,55.9957612118863,-0.0904804312262015,0.379053924236069,-0.238700684628321,0.811337685841702,0.99976360228866
1700001J11Rik,5.69716968416691,0.0376411219642086,0.924901183585183,0.0406974524762751,0.967537092544105,NA
Cd81,163.730338143467,-0.0942041811934063,0.21372423619057,-0.440774443144613,0.659376297177883,0.997781340337504
Wnt3,2.56478208751342,-1.35094435033998,1.40684345976004,-0.96026629044457,0.336921211097352,NA
Wnt2b,7.57167921806224,0.439301559821526,0.864700594397371,0.508038924302677,0.611426045973978,NA
Bcap31,3090.47768829317,0.00761057918819941,0.102445433073057,0.0742891016212703,0.940780348715796,0.99976360228866
Slc6a20b,9.18592860920201,0.665304560661474,0.771205007269246,0.862681847745317,0.388312415418149,NA
Rpl7l1,1572.06430535952,0.123914871268753,0.109973924241293,1.1267659322302,0.259841457908219,0.967714411404836
Rhod,14.6840043431533,0.176091445354367,0.550787512923942,0.319708492335925,0.749189321463941,NA
Zfp36l1,6687.61933547197,-0.52304631125448,0.118728398600946,-4.40540188714644,1.05587935064229e-05,0.00326101738199929
Rsph9,9.03083536171391,0.248502292791593,0.786866072720099,0.315812692155542,0.752144683849047,NA
Gata1,9.15797421510039,0.328001235777372,0.844711687677153,0.38829962999486,0.697794311043775,NA
Ly6f,1.53650541340684,-1.04888485190291,1.64052811886388,-0.639358045645259,0.522590035375117,NA
Lsm6,1083.95135666865,0.0692966251799245,0.113217547707056,0.612066120344044,0.540494011881848,0.997781340337504
Srxn1,1.86134406810651,-1.8288245401074,1.52678223602,-1.19782932821826,0.230983467076707,NA
Ccdc15,125.781175528547,-0.0704123136164313,0.248979125413823,-0.282804084476562,0.777327023138269,0.99976360228866
Irak4,330.771668098799,0.0139393913221186,0.165617109873981,0.0841663722590324,0.932924154340141,0.99976360228866
Cd55b,84.4937179565588,-0.0783658682224345,0.245917596876597,-0.318667184527503,0.749978901243168,0.997787734387346
Purb,2211.66444974495,0.34337930491147,0.150185378459938,2.28636974139974,0.0222326369793714,0.479749238574514
Tubb6,29.6343526759305,0.873443071843338,0.44292070838388,1.97200775513599,0.0486087212246877,NA
Spata6,352.151352611318,0.0511171766859771,0.168190797723254,0.303923742427851,0.761185989024068,0.999204715898375
Ears2,169.380463914063,0.0761509127916246,0.240395402150314,0.31677358264951,0.75141541067166,0.998418728645875
Gstm7,1.63551605566435,2.05169895794088,2.04905752823918,1.00128909494502,0.316687063485831,NA
Prr14,2185.11829629029,-0.0777952305289284,0.118888200871525,-0.654356193117912,0.512882350552149,0.997781340337504
Prkch,2353.38453089485,-0.0192518772973101,0.117250149366983,-0.164194906371108,0.869577710816491,0.99976360228866
Slc35b4,686.246763562256,0.049815429194839,0.185899180499425,0.267970138765582,0.78872230419197,0.99976360228866
Dnajb1,4416.56464717513,-0.399428528199757,0.164221360544476,-2.43225684451433,0.0150050626877686,0.419820205483882
Pabpc1,7858.04568410899,0.145230782868986,0.137534004844281,1.05596272742453,0.290985243868846,0.977174125752846
Atrn,362.839809839481,-0.0923550411976075,0.157299024701367,-0.587130412111227,0.557116123849122,0.997781340337504
P2rx1,3.55963408244058,-1.78372767079047,1.34460654628389,-1.32657964199281,0.184647773858649,NA
Ermp1,178.77617126177,-0.126418033522603,0.192548604621006,-0.6565512836171,0.511469482092165,0.997781340337504
Nudt19,413.113927567791,-0.0695240535203733,0.190188474916297,-0.365553451916427,0.714698314394315,0.997781340337504
Tars,1271.33221651852,-0.0372499434288882,0.134434226869626,-0.277086753100556,0.781713493242766,0.99976360228866
Nfat5,272.114837033296,0.118517537313324,0.149208673228577,0.794307292926352,0.427016559416244,0.997781340337504
Mir7079,7.8227943747151,-0.28387914445314,0.773311770180872,-0.367095336447218,0.713547905809653,NA
Snapc3,419.134604082824,0.0229574279055456,0.138847689676301,0.165342527189807,0.868674387574448,0.99976360228866
Septin9,1388.4164445604,0.00616080500834629,0.121671969110433,0.0506345467521329,0.959616733795575,0.99976360228866
Pdcd7,160.121099612634,-0.0262141845991695,0.208431081922847,-0.125769076077017,0.899914721074192,0.99976360228866
Nrp1,95.6793387876319,0.209165457561472,0.26588334485302,0.786681308214692,0.431468448749902,0.997781340337504
Ssr2,1786.53227246079,0.0468753063128112,0.121162973476858,0.386878144103687,0.698846422157215,0.997781340337504
Atpsckmt,241.914281290817,0.211307973278406,0.171745884615678,1.23035246958759,0.218565143879954,0.929321166788655
Espl1,9.29536505328087,-2.05497873844019,1.04903142050612,-1.95892963572887,0.0501210277929241,NA
Gpatch2,394.302340106977,0.0998993382838403,0.154025228853981,0.648590747289504,0.516602937707693,0.997781340337504
Olfm2,2.40284897308692,-0.70259947686094,1.68018828274412,-0.418167109053658,0.675824941750326,NA
Rnf19a,1663.22664094875,-0.0514113359143238,0.128820577856956,-0.399092573326379,0.689824994295966,0.997781340337504
Kcnh4,3.39368352194639,-1.2112006717874,1.3331430207748,-0.908530182368183,0.36359817479514,NA
Htra4,1.85831711750631,-1.20802237326021,1.82226155152854,-0.66292479926765,0.507378717990111,NA
Ripor3,3.94729738933314,0.514239706539722,1.18271254858919,0.434796863492434,0.663709881771929,NA
Gm20110,0.925900311376171,-1.53960169825881,2.84574331810113,-0.541019173607739,0.588494367114959,NA
Snord12,10.7172329049726,-0.432652372849411,0.624197491569389,-0.693133789694692,0.488225594325577,NA
Crcp,608.124568467799,0.230608281912647,0.143429976706421,1.60781091378594,0.107876597449656,0.787665396036818
